                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6063,                  2.777,                 1.5695,                0.15962,                 0.1557,                0.05947,                0.03714,                 1.5328,                 2.8079,                 1.5574,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.5894,                 2.7659,                 1.5656,                0.21438,                0.13263,                0.06088,                0.03724,                 1.5556,                 2.7988,                  1.587,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.6018,                  2.748,                 1.5665,                0.25218,                0.14708,                0.05947,                 0.0363,                 1.5314,                 2.8128,                  1.555,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.5791,                 2.7462,                 1.5666,                0.23555,                0.13955,                0.06169,                0.03883,                 1.5271,                 2.7646,                 1.5506,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.6036,                 2.7631,                 1.5678,                0.17046,                0.13835,                0.06044,                0.03819,                 1.5373,                 2.7599,                 1.5499,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.5673,                 2.7229,                 1.5447,                0.18235,                 0.1437,                0.06214,                0.03869,                 1.5225,                 2.7435,                 1.5692,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.5925,                 2.7051,                 1.5492,                0.25519,                0.16062,                0.06507,                0.04106,                 1.5125,                   2.72,                 1.5278,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.5705,                 2.7055,                 1.5389,                0.22744,                0.13601,                0.06162,                0.03797,                 1.5009,                 2.7672,                 1.5325,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.5736,                 2.7023,                 1.5429,                0.20133,                0.15668,                0.06123,                0.03826,                 1.5123,                 2.7421,                 1.5455,               0.009604,               0.009604,               0.009604
                     43,                 1.5749,                 2.6976,                 1.5472,                0.26489,                0.14466,                0.06413,                0.03986,                 1.5026,                 2.7726,                 1.5485,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.5628,                 2.6769,                 1.5593,                0.22121,                0.14519,                0.06749,                0.04168,                 1.5021,                 2.7354,                 1.5422,              0.0095842,              0.0095842,              0.0095842
