                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5179,                 2.2959,                 1.3562,                0.21805,                0.15481,                0.08478,                0.05265,                 1.4723,                 2.4867,                 1.3785,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.5125,                 2.2778,                 1.3446,                0.22193,                0.15882,                0.07911,                 0.0486,                 1.5058,                 2.5164,                 1.4095,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.5215,                 2.2793,                 1.3476,                0.19657,                0.15705,                0.07651,                0.04679,                 1.4661,                 2.5038,                 1.3716,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4963,                 2.2502,                 1.3492,                0.22749,                0.15692,                0.08938,                0.05402,                 1.4476,                 2.4695,                 1.3766,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.5368,                 2.2536,                 1.3663,                 0.2137,                0.15214,                0.07792,                0.04752,                 1.4392,                 2.4711,                 1.3709,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.4976,                 2.2318,                 1.3433,                0.21879,                0.15142,                0.08742,                0.05416,                 1.4563,                 2.4513,                 1.3714,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.5173,                  2.214,                 1.3385,                0.22128,                 0.1713,                 0.0971,                0.06047,                 1.4772,                  2.452,                 1.3776,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.5093,                 2.2128,                 1.3411,                 0.1556,                0.17342,                0.09148,                0.05817,                 1.4594,                  2.431,                 1.3699,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.5054,                 2.1795,                 1.3327,                0.23941,                0.15552,                0.10213,                 0.0626,                 1.4455,                 2.4324,                 1.3566,               0.009604,               0.009604,               0.009604
                     43,                 1.4979,                 2.1629,                 1.3405,                 0.2379,                0.16068,                0.10031,                0.06126,                 1.4172,                  2.418,                 1.3452,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.4807,                 2.1413,                 1.3414,                0.25452,                 0.1483,                0.10082,                0.06316,                 1.4476,                  2.438,                 1.3544,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.4795,                 2.1605,                 1.3281,                0.17113,                0.16268,                0.09658,                0.06145,                 1.4287,                 2.4466,                 1.3621,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.4842,                 2.1111,                 1.3358,                0.24409,                0.16895,                0.10346,                0.06588,                 1.4267,                 2.4131,                 1.3514,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.4821,                 2.1134,                 1.3285,                0.24009,                0.16315,                0.10411,                0.06591,                  1.424,                 2.4135,                 1.3475,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.4815,                 2.1255,                 1.3258,                0.20287,                0.16061,                 0.1095,                0.06753,                 1.4311,                 2.3927,                 1.3434,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.4594,                 2.0612,                 1.3123,                0.25214,                0.16421,                0.10475,                0.06563,                 1.4341,                 2.4009,                 1.3437,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.4669,                 2.0527,                 1.3125,                0.18357,                0.16379,                0.10587,                0.06686,                 1.4329,                 2.4242,                 1.3585,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.4615,                 2.0647,                 1.3118,                0.18542,                0.16389,                0.10507,                 0.0655,                 1.4492,                 2.4021,                 1.3637,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.4554,                 2.0349,                 1.3209,                0.20922,                0.16404,                0.10605,                0.06664,                 1.4323,                 2.4077,                 1.3438,               0.009505,               0.009505,               0.009505
                     53,                 1.4578,                 2.0432,                  1.311,                0.17569,                0.17027,                0.10235,                0.06446,                 1.4419,                 2.4319,                 1.3562,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.4675,                 2.0276,                 1.3251,                0.22244,                0.16467,                0.10969,                0.07032,                 1.4068,                 2.3921,                  1.341,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.4591,                 2.0232,                 1.3087,                0.23915,                0.17217,                0.10896,                0.06939,                 1.4297,                 2.3937,                  1.346,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.4446,                 1.9838,                 1.3081,                 0.2511,                0.15983,                0.10988,                0.06902,                 1.4446,                 2.4063,                  1.356,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.4526,                 1.9792,                 1.3113,                0.19836,                 0.1677,                0.11606,                0.07606,                 1.4167,                 2.3979,                 1.3456,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.4419,                 1.9713,                 1.2987,                0.26356,                0.17029,                0.11499,                0.07365,                 1.4463,                 2.3907,                  1.361,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.4366,                 1.9644,                 1.3135,                0.20216,                0.17441,                0.11196,                0.07305,                  1.407,                 2.3693,                 1.3392,              0.0094357,              0.0094357,              0.0094357
