                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4999,                 2.8102,                 1.5789,                0.19109,                0.15911,                0.07204,                0.04459,                 1.5032,                 2.9157,                 1.5855,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.4921,                 2.8097,                 1.5747,                0.21206,                0.16538,                 0.0688,                0.04256,                 1.4972,                 2.9133,                 1.5602,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.5045,                 2.7918,                 1.5784,                0.17042,                0.16308,                0.07117,                0.04366,                 1.5024,                 2.9543,                  1.569,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4867,                 2.7597,                 1.5621,                0.21696,                0.17296,                0.06811,                0.04322,                 1.4711,                 2.9084,                 1.5474,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.5013,                 2.7796,                  1.571,                0.09996,                0.17451,                0.06654,                0.04216,                 1.5042,                 2.8943,                  1.555,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.4875,                 2.7467,                 1.5523,                0.16216,                0.16828,                0.07142,                0.04567,                 1.4671,                 2.8974,                 1.5314,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.4902,                 2.7348,                 1.5482,                0.16404,                0.17247,                0.07746,                0.04898,                 1.4933,                 2.9081,                 1.5536,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.4817,                 2.7098,                 1.5432,                0.18241,                0.15983,                0.07688,                0.04852,                 1.4731,                 2.8828,                 1.5453,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.4805,                  2.709,                 1.5506,                0.16749,                0.18743,                0.07739,                0.05009,                 1.4688,                 2.8884,                 1.5333,               0.009604,               0.009604,               0.009604
                     43,                 1.4709,                 2.6883,                 1.5312,                0.19864,                0.17171,                0.08407,                0.05307,                  1.456,                 2.8371,                 1.5295,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.4553,                 2.6505,                 1.5329,                 0.2371,                0.17757,                0.08726,                0.05523,                 1.4692,                 2.8622,                 1.5343,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.4522,                 2.6633,                 1.5215,                0.18603,                0.19767,                0.08653,                0.05525,                  1.455,                 2.7856,                 1.5241,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.4582,                 2.6234,                 1.5266,                0.17792,                0.18767,                0.08371,                0.05421,                 1.4542,                 2.8079,                  1.517,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.4496,                 2.6191,                 1.5095,                0.20338,                 0.1775,                 0.0927,                0.05981,                 1.4467,                 2.7852,                 1.5147,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.4508,                 2.6322,                 1.5118,                0.25393,                0.18393,                 0.0977,                0.06401,                 1.4591,                  2.807,                 1.5144,              0.0095446,              0.0095446,              0.0095446
                     49,                  1.445,                 2.5793,                 1.5049,                0.19388,                 0.2044,                0.09872,                0.06466,                 1.4482,                 2.7682,                 1.5048,              0.0095347,              0.0095347,              0.0095347
                     50,                  1.444,                 2.5936,                 1.5043,                0.21364,                0.19583,                0.10289,                0.06831,                 1.4493,                 2.7692,                 1.5087,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.4434,                 2.5812,                 1.4987,                0.22144,                0.17167,                0.10353,                0.06723,                  1.452,                 2.7961,                 1.5168,              0.0095149,              0.0095149,              0.0095149
                     52,                  1.432,                 2.5397,                 1.4945,                 0.2145,                0.18758,                0.11043,                0.07303,                 1.4584,                 2.7241,                 1.5066,               0.009505,               0.009505,               0.009505
