                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4228,                 2.4666,                 1.4298,                0.19685,                0.17233,                0.08586,                0.05534,                 1.4005,                  2.692,                 1.4361,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.4205,                 2.4525,                 1.4279,                0.20632,                0.17641,                0.09232,                0.05887,                 1.3978,                 2.6028,                  1.432,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4002,                 2.4231,                 1.4215,                0.22786,                0.17251,                0.09943,                0.06461,                 1.3968,                 2.5689,                 1.4319,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.4196,                 2.4405,                 1.4187,                0.20796,                0.18405,                 0.0937,                 0.0598,                 1.3794,                 2.5882,                  1.421,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.4003,                 2.4025,                 1.4127,                0.21926,                0.18993,                0.09774,                0.06101,                 1.4014,                 2.5916,                 1.4322,              0.0096337,              0.0096337,              0.0096337
                     40,                  1.409,                 2.3752,                 1.4085,                0.22659,                0.18346,                0.10586,                0.06852,                 1.3878,                 2.5544,                  1.411,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.3977,                 2.3652,                 1.4123,                0.16631,                0.18824,                 0.1045,                0.06758,                 1.3978,                 2.5557,                 1.4327,              0.0096139,              0.0096139,              0.0096139
                     42,                  1.404,                  2.351,                 1.4114,                0.22866,                0.18989,                0.11194,                  0.074,                 1.3916,                 2.5359,                 1.4253,               0.009604,               0.009604,               0.009604
                     43,                 1.3942,                 2.3508,                 1.4034,                0.16933,                0.18698,                 0.1136,                0.07442,                 1.3673,                 2.5315,                 1.4125,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.3767,                 2.3087,                 1.4091,                0.24753,                0.20085,                0.11331,                0.07333,                 1.3722,                 2.5041,                 1.4046,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.3656,                 2.3192,                 1.3901,                0.19183,                0.18085,                0.11519,                0.07738,                 1.3655,                 2.5048,                 1.4062,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.3665,                 2.2767,                 1.3871,                0.21363,                0.18094,                0.11749,                0.07505,                 1.3579,                 2.5525,                  1.392,              0.0095644,              0.0095644,              0.0095644
                     47,                  1.368,                 2.2634,                 1.3833,                0.22552,                0.19513,                0.11695,                0.07674,                 1.3733,                  2.508,                 1.4065,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.3686,                 2.2882,                 1.3888,                0.26163,                0.19358,                0.12716,                0.08271,                 1.3497,                 2.4741,                  1.396,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.3487,                 2.2368,                 1.3697,                0.25934,                0.19691,                 0.1226,                 0.0806,                 1.3647,                 2.4777,                 1.3938,              0.0095347,              0.0095347,              0.0095347
