                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5044,                  2.831,                 1.5989,                0.16699,                0.16648,                0.07409,                 0.0471,                 1.4944,                 2.9072,                 1.5983,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.4974,                 2.8166,                 1.5946,                0.16354,                0.16687,                0.06887,                0.04391,                 1.4913,                 2.9331,                 1.5854,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.5107,                 2.7982,                 1.5982,                0.16084,                0.19419,                0.07633,                0.04873,                 1.4964,                 2.8769,                 1.5843,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4928,                   2.77,                 1.5804,                0.17129,                0.17042,                0.07924,                0.05167,                 1.4797,                 2.8903,                  1.586,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.4953,                 2.7821,                 1.5858,                0.17735,                0.16487,                0.07461,                0.04983,                 1.4928,                   2.92,                 1.5855,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.4919,                  2.755,                 1.5777,                0.17382,                0.15866,                 0.0735,                0.04746,                 1.4811,                 2.9016,                  1.577,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.4908,                  2.738,                 1.5681,                0.19454,                0.16714,                0.08565,                0.05543,                 1.4855,                 2.8227,                 1.5655,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.4771,                 2.7165,                 1.5563,                 0.1738,                0.17648,                0.08261,                0.05185,                  1.462,                 2.8463,                 1.5634,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.4809,                  2.727,                  1.572,                0.22797,                0.16377,                  0.083,                  0.056,                 1.4689,                 2.8685,                 1.5567,               0.009604,               0.009604,               0.009604
                     43,                 1.4763,                  2.714,                 1.5564,                0.13809,                0.18522,                0.08647,                 0.0564,                 1.4538,                 2.8411,                 1.5628,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.4615,                 2.6664,                  1.556,                0.24866,                0.17395,                0.08498,                0.05455,                 1.4561,                 2.8396,                 1.5453,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.4575,                 2.6785,                 1.5443,                0.19348,                0.17773,                0.08812,                0.05702,                 1.4539,                 2.7984,                 1.5406,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.4524,                 2.6284,                 1.5327,                0.18973,                0.16909,                 0.0903,                0.05803,                 1.4558,                 2.8186,                 1.5383,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.4524,                  2.633,                 1.5333,                0.18933,                0.18281,                0.08736,                0.05768,                 1.4409,                 2.7872,                 1.5378,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.4545,                 2.6532,                 1.5394,                 0.1913,                0.18865,                0.09402,                0.06191,                 1.4375,                 2.7769,                 1.5309,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.4375,                 2.6029,                  1.519,                  0.132,                0.18695,                0.08807,                0.05806,                 1.4688,                   2.81,                 1.5312,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.4374,                 2.5998,                 1.5174,                 0.1399,                0.19002,                0.09665,                0.06431,                 1.4468,                 2.7706,                 1.5387,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.4363,                 2.5941,                 1.5177,                0.21428,                0.18118,                0.10339,                0.06952,                 1.4352,                 2.7578,                 1.5267,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.4279,                 2.5515,                 1.5086,                0.18803,                0.18873,                0.10232,                 0.0676,                 1.4511,                  2.756,                  1.524,               0.009505,               0.009505,               0.009505
                     53,                 1.4388,                 2.5756,                 1.5202,                0.19906,                0.18636,                0.10409,                0.06906,                 1.4206,                 2.7236,                 1.5168,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.4285,                 2.5577,                 1.5171,                0.15042,                  0.199,                0.10738,                0.07369,                 1.4368,                 2.7447,                 1.5309,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.4305,                   2.51,                 1.5105,                0.21345,                 0.2042,                0.10747,                0.07379,                 1.4348,                 2.7273,                 1.5171,              0.0094753,              0.0094753,              0.0094753
                     56,                   1.42,                 2.5171,                 1.5045,                0.14848,                0.20121,                 0.1137,                0.07611,                 1.4277,                 2.6608,                 1.5107,              0.0094654,              0.0094654,              0.0094654
