                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3953,                 2.4074,                 1.3769,                0.18619,                0.16851,                0.08435,                0.05347,                 1.4351,                 2.6501,                 1.4371,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.3841,                 2.3837,                 1.3766,                0.25396,                0.16826,                0.09183,                0.05938,                 1.4324,                 2.6035,                 1.4308,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.3725,                 2.3485,                 1.3683,                0.17935,                0.17529,                 0.0872,                0.05555,                 1.4537,                 2.6155,                 1.4395,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.3614,                 2.3346,                 1.3536,                0.13025,                0.16916,                0.08787,                0.05611,                 1.4492,                 2.6153,                 1.4415,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.3613,                 2.3229,                  1.355,                 0.2095,                0.16271,                0.08978,                0.05738,                 1.4453,                 2.6081,                 1.4269,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.3486,                 2.2983,                 1.3414,                0.12448,                0.17917,                 0.0917,                0.05832,                 1.4335,                  2.601,                  1.432,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.3602,                 2.2929,                 1.3422,                0.13998,                0.17961,                0.09516,                0.06163,                 1.4094,                 2.5636,                 1.4055,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.3477,                 2.2621,                 1.3398,                  0.216,                0.17118,                 0.1019,                0.06626,                 1.4184,                 2.5858,                 1.4139,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.3467,                 2.2486,                 1.3396,                0.23029,                0.18647,                 0.1017,                0.06567,                 1.4181,                 2.5665,                 1.4207,               0.009604,               0.009604,               0.009604
                     43,                 1.3433,                 2.2301,                 1.3353,                0.18873,                0.18956,                0.10649,                0.06878,                 1.4169,                 2.5388,                 1.4019,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.3272,                 2.2083,                 1.3256,                0.15505,                0.19235,                0.10406,                0.06802,                 1.4318,                 2.5458,                 1.4283,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.3309,                 2.2029,                 1.3279,                0.16256,                0.19363,                 0.1103,                0.07344,                 1.3995,                 2.5454,                 1.3973,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.3224,                 2.1633,                 1.3162,                0.15166,                0.19219,                0.11166,                0.07347,                 1.4051,                 2.5434,                 1.4039,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.3193,                 2.1544,                 1.3147,                0.21015,                0.18073,                0.11161,                0.07481,                 1.4066,                 2.5666,                 1.4046,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.3171,                 2.1527,                 1.3125,                0.23357,                0.19113,                0.11156,                0.07251,                 1.3814,                 2.5032,                 1.3959,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.2937,                 2.1109,                 1.2952,                0.18111,                0.18733,                0.11707,                0.07803,                 1.3858,                 2.5103,                 1.3827,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.2978,                 2.0863,                 1.2995,                0.17241,                0.18111,                0.11183,                 0.0747,                 1.3875,                 2.5137,                 1.3927,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.3017,                 2.0709,                 1.3001,                0.18761,                0.18847,                0.11818,                0.07789,                 1.3969,                 2.4998,                 1.3989,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.2968,                 2.0549,                 1.2968,                0.20658,                0.19572,                0.12297,                0.08296,                 1.3866,                 2.4876,                 1.3951,               0.009505,               0.009505,               0.009505
                     53,                 1.2844,                  2.047,                 1.2962,                0.20941,                0.19789,                0.12503,                0.08479,                 1.3864,                 2.4625,                 1.3888,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.2891,                 2.0353,                 1.2886,                 0.2614,                 0.1938,                0.13325,                0.09043,                 1.3839,                 2.4605,                 1.3834,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.2665,                 1.9999,                 1.2711,                 0.2207,                0.21842,                0.13242,                0.08806,                 1.3742,                 2.4377,                 1.3738,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.2741,                 1.9855,                 1.2826,                0.24556,                0.20012,                0.12955,                 0.0865,                 1.3884,                 2.4685,                 1.3792,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.2669,                 1.9735,                 1.2692,                0.22321,                0.19976,                0.14375,                 0.0983,                 1.3751,                 2.4481,                 1.3706,              0.0094555,              0.0094555,              0.0094555
